root_category,name,url_key,path,active,is_anchor,include_in_menu,position,display_mode,custom_layout_update
Produk,Handphone & Tablet,headphone_&_tablet,,1,1,1,,PRODUCTS,
Produk,Headphones,headphones,Handphone & Tablet,1,1,1,,PRODUCTS,
Produk,Android OS,android_os,Handphone & Tablet/Headphones,1,1,1,,PRODUCTS,
Produk,Feature Phone,feature_phone,Handphone & Tablet/Headphones,1,1,1,,PRODUCTS,
Produk,iOS,ios,Handphone & Tablet/Headphones,1,1,1,,PRODUCTS,
Produk,Windows Mobile,windows_mobile,Handphone & Tablet/Headphones,1,1,1,,PRODUCTS,
Produk,Tablet,tablet,Handphone & Tablet,1,1,1,,PRODUCTS,
Produk,Android OS,android_os,Handphone & Tablet/Tablet,1,1,1,,PRODUCTS,
Produk,IOS,ios,Handphone & Tablet/Tablet,1,1,1,,PRODUCTS,
Produk,Aksesoris Handphone,aksesoris_handphone,Handphone & Tablet,1,1,1,,PRODUCTS,
Produk,Charger Handphone,charger_handphone,Handphone & Tablet/Aksesoris Handphone,1,1,1,,PRODUCTS,
Produk,Charger Mobil,charger_mobil,Handphone & Tablet/Aksesoris Handphone,1,1,1,,PRODUCTS,
Produk,Docking Handphone,docking_handphone,Handphone & Tablet/Aksesoris Handphone,1,1,1,,PRODUCTS,
Produk,Komputer & Laptop,komputer_&_laptop,,1,1,1,,PRODUCTS,
Produk,Laptop,laptop,Komputer & Laptop,1,1,1,,PRODUCTS,
Produk,Laptop 2 in 1,laptop_2_in_1,Komputer & Laptop/Laptop,1,1,1,,PRODUCTS,
